Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
3,Trenčiansky kraj,301,Bánovce nad Bebravou,22,Demokrati,418,1.99,341,81.57
3,Trenčiansky kraj,301,Bánovce nad Bebravou,23,Kresťanskodemokratické hnutie,1197,5.72,800,66.83
3,Trenčiansky kraj,301,Bánovce nad Bebravou,24,KARMA,16,0.07,7,43.75
3,Trenčiansky kraj,301,Bánovce nad Bebravou,25,REPUBLIKA,1137,5.43,993,87.33
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,1,Pirátska strana - Slovensko,176,0.34,111,63.06
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,2,PRINCÍP,24,0.04,17,70.83
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,3,Progresívne Slovensko,9532,18.87,6902,72.4
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,4,SPOLOČNE OBČANIA SLOVENSKA,38,0.07,20,52.63
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,5,OĽANO A PRIATELIA,3548,7.02,3001,84.58
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,6,Komunistická strana Slovenska,272,0.53,172,63.23
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,7,Maďarské fórum,22,0.04,14,63.63
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,8,Vlastenecký blok,40,0.07,35,87.5
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,9,"Modrí, Most - Híd",55,0.1,40,72.72
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,10,SPRAVODLIVOSŤ,46,0.09,23,50.0
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,11,Slovenské Hnutie Obrody,28,0.05,19,67.85
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,12,Sloboda a Solidarita,3296,6.52,2652,80.46
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,13,SME RODINA,1414,2.8,1164,82.31
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,14,MySlovensko,66,0.13,44,66.66
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,15,Slovenská národná strana,2981,5.9,2540,85.2
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,16,SMER - sociálna demokracia,13244,26.22,10925,82.49
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,17,HLAS - sociálna demokracia,8717,17.26,7110,81.56
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,18,SZÖVETSÉG - Magyarok,16,0.03,8,50.0
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,19,SRDCE vlastenci a dôchodcovia,47,0.09,17,36.17
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,20,SDKU - DS,15,0.02,10,66.66
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,21,Kotlebovci - Ľudová strana Naše Slovensko,600,1.18,505,84.16
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,22,Demokrati,1352,2.67,1151,85.13
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,23,Kresťanskodemokratické hnutie,2034,4.02,1449,71.23
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,24,KARMA,142,0.28,98,69.01
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,25,REPUBLIKA,2788,5.52,2385,85.54
3,Trenčiansky kraj,303,Považská Bystrica,1,Pirátska strana - Slovensko,177,0.28,116,65.53
3,Trenčiansky kraj,303,Považská Bystrica,2,PRINCÍP,18,0.02,15,83.33
3,Trenčiansky kraj,303,Považská Bystrica,3,Progresívne Slovensko,9099,14.58,6856,75.34
3,Trenčiansky kraj,303,Považská Bystrica,4,SPOLOČNE OBČANIA SLOVENSKA,57,0.09,37,64.91
3,Trenčiansky kraj,303,Považská Bystrica,5,OĽANO A PRIATELIA,3158,5.06,2751,87.11
3,Trenčiansky kraj,303,Považská Bystrica,6,Komunistická strana Slovenska,200,0.32,144,72.0
3,Trenčiansky kraj,303,Považská Bystrica,7,Maďarské fórum,9,0.01,6,66.66
3,Trenčiansky kraj,303,Považská Bystrica,8,Vlastenecký blok,12,0.01,10,83.33
3,Trenčiansky kraj,303,Považská Bystrica,9,"Modrí, Most - Híd",75,0.12,58,77.33
3,Trenčiansky kraj,303,Považská Bystrica,10,SPRAVODLIVOSŤ,24,0.03,17,70.83
3,Trenčiansky kraj,303,Považská Bystrica,11,Slovenské Hnutie Obrody,37,0.05,30,81.08
3,Trenčiansky kraj,303,Považská Bystrica,12,Sloboda a Solidarita,3089,4.95,2495,80.77
3,Trenčiansky kraj,303,Považská Bystrica,13,SME RODINA,1263,2.02,1016,80.44
3,Trenčiansky kraj,303,Považská Bystrica,14,MySlovensko,75,0.12,55,73.33
3,Trenčiansky kraj,303,Považská Bystrica,15,Slovenská národná strana,5085,8.15,4405,86.62
3,Trenčiansky kraj,303,Považská Bystrica,16,SMER - sociálna demokracia,20798,33.33,17829,85.72
3,Trenčiansky kraj,303,Považská Bystrica,17,HLAS - sociálna demokracia,9957,15.96,8220,82.55
3,Trenčiansky kraj,303,Považská Bystrica,18,SZÖVETSÉG - Magyarok,16,0.02,12,75.0
3,Trenčiansky kraj,303,Považská Bystrica,19,SRDCE vlastenci a dôchodcovia,44,0.07,20,45.45
3,Trenčiansky kraj,303,Považská Bystrica,20,SDKU - DS,18,0.02,11,61.11
3,Trenčiansky kraj,303,Považská Bystrica,21,Kotlebovci - Ľudová strana Naše Slovensko,608,0.97,535,87.99
3,Trenčiansky kraj,303,Považská Bystrica,22,Demokrati,1574,2.52,1341,85.19
3,Trenčiansky kraj,303,Považská Bystrica,23,Kresťanskodemokratické hnutie,3509,5.62,2438,69.47
3,Trenčiansky kraj,303,Považská Bystrica,24,KARMA,54,0.08,37,68.51
3,Trenčiansky kraj,303,Považská Bystrica,25,REPUBLIKA,3428,5.49,3009,87.77
3,Trenčiansky kraj,304,Prievidza,1,Pirátska strana - Slovensko,303,0.3,215,70.95
3,Trenčiansky kraj,304,Prievidza,2,PRINCÍP,30,0.03,22,73.33
3,Trenčiansky kraj,304,Prievidza,3,Progresívne Slovensko,15263,15.32,11229,73.57
3,Trenčiansky kraj,304,Prievidza,4,SPOLOČNE OBČANIA SLOVENSKA,64,0.06,36,56.25
3,Trenčiansky kraj,304,Prievidza,5,OĽANO A PRIATELIA,5822,5.84,5065,86.99
3,Trenčiansky kraj,304,Prievidza,6,Komunistická strana Slovenska,549,0.55,379,69.03
3,Trenčiansky kraj,304,Prievidza,7,Maďarské fórum,22,0.02,18,81.81
3,Trenčiansky kraj,304,Prievidza,8,Vlastenecký blok,92,0.09,80,86.95
3,Trenčiansky kraj,304,Prievidza,9,"Modrí, Most - Híd",104,0.1,75,72.11
3,Trenčiansky kraj,304,Prievidza,10,SPRAVODLIVOSŤ,47,0.04,26,55.31
3,Trenčiansky kraj,304,Prievidza,11,Slovenské Hnutie Obrody,55,0.05,49,89.09
3,Trenčiansky kraj,304,Prievidza,12,Sloboda a Solidarita,5116,5.13,4232,82.72
3,Trenčiansky kraj,304,Prievidza,13,SME RODINA,2235,2.24,1876,83.93
3,Trenčiansky kraj,304,Prievidza,14,MySlovensko,92,0.09,61,66.3
3,Trenčiansky kraj,304,Prievidza,15,Slovenská národná strana,7534,7.56,6701,88.94
3,Trenčiansky kraj,304,Prievidza,16,SMER - sociálna demokracia,30653,30.78,26393,86.1
3,Trenčiansky kraj,304,Prievidza,17,HLAS - sociálna demokracia,16398,16.46,13657,83.28
3,Trenčiansky kraj,304,Prievidza,18,SZÖVETSÉG - Magyarok,15,0.01,10,66.66
3,Trenčiansky kraj,304,Prievidza,19,SRDCE vlastenci a dôchodcovia,79,0.07,36,45.56
3,Trenčiansky kraj,304,Prievidza,20,SDKU - DS,22,0.02,12,54.54
3,Trenčiansky kraj,304,Prievidza,21,Kotlebovci - Ľudová strana Naše Slovensko,1104,1.1,957,86.68
3,Trenčiansky kraj,304,Prievidza,22,Demokrati,2954,2.96,2560,86.66
3,Trenčiansky kraj,304,Prievidza,23,Kresťanskodemokratické hnutie,4890,4.91,3830,78.32
3,Trenčiansky kraj,304,Prievidza,24,KARMA,97,0.09,68,70.1
3,Trenčiansky kraj,304,Prievidza,25,REPUBLIKA,6035,6.06,5317,88.1
3,Trenčiansky kraj,305,Trenčín,1,Pirátska strana - Slovensko,287,0.28,184,64.11
3,Trenčiansky kraj,305,Trenčín,2,PRINCÍP,30,0.02,17,56.66
3,Trenčiansky kraj,305,Trenčín,3,Progresívne Slovensko,18868,18.6,13718,72.7
3,Trenčiansky kraj,305,Trenčín,4,SPOLOČNE OBČANIA SLOVENSKA,82,0.08,50,60.97
3,Trenčiansky kraj,305,Trenčín,5,OĽANO A PRIATELIA,6054,5.96,5204,85.95
3,Trenčiansky kraj,305,Trenčín,6,Komunistická strana Slovenska,411,0.4,246,59.85
3,Trenčiansky kraj,305,Trenčín,7,Maďarské fórum,35,0.03,25,71.42
3,Trenčiansky kraj,305,Trenčín,8,Vlastenecký blok,32,0.03,24,75.0
3,Trenčiansky kraj,305,Trenčín,9,"Modrí, Most - Híd",212,0.2,177,83.49
3,Trenčiansky kraj,305,Trenčín,10,SPRAVODLIVOSŤ,64,0.06,45,70.31
3,Trenčiansky kraj,305,Trenčín,11,Slovenské Hnutie Obrody,47,0.04,35,74.46
3,Trenčiansky kraj,305,Trenčín,12,Sloboda a Solidarita,6389,6.29,5211,81.56
3,Trenčiansky kraj,305,Trenčín,13,SME RODINA,2100,2.07,1706,81.23
3,Trenčiansky kraj,305,Trenčín,14,MySlovensko,137,0.13,95,69.34
3,Trenčiansky kraj,305,Trenčín,15,Slovenská národná strana,7335,7.23,6326,86.24
3,Trenčiansky kraj,305,Trenčín,16,SMER - sociálna demokracia,27230,26.84,22578,82.91
3,Trenčiansky kraj,305,Trenčín,17,HLAS - sociálna demokracia,16102,15.87,13112,81.43
3,Trenčiansky kraj,305,Trenčín,18,SZÖVETSÉG - Magyarok,52,0.05,43,82.69
3,Trenčiansky kraj,305,Trenčín,19,SRDCE vlastenci a dôchodcovia,68,0.06,32,47.05
3,Trenčiansky kraj,305,Trenčín,20,SDKU - DS,27,0.02,12,44.44
3,Trenčiansky kraj,305,Trenčín,21,Kotlebovci - Ľudová strana Naše Slovensko,1021,1.0,879,86.09
3,Trenčiansky kraj,305,Trenčín,22,Demokrati,3211,3.16,2699,84.05
3,Trenčiansky kraj,305,Trenčín,23,Kresťanskodemokratické hnutie,6608,6.51,4941,74.77
3,Trenčiansky kraj,305,Trenčín,24,KARMA,140,0.13,91,65.0
3,Trenčiansky kraj,305,Trenčín,25,REPUBLIKA,4883,4.81,4165,85.29
4,Nitriansky kraj,401,Komárno,1,Pirátska strana - Slovensko,153,0.33,127,83.0
4,Nitriansky kraj,401,Komárno,2,PRINCÍP,19,0.04,16,84.21
4,Nitriansky kraj,401,Komárno,3,Progresívne Slovensko,4793,10.5,3459,72.16
4,Nitriansky kraj,401,Komárno,4,SPOLOČNE OBČANIA SLOVENSKA,31,0.06,17,54.83
4,Nitriansky kraj,401,Komárno,5,OĽANO A PRIATELIA,3421,7.49,2994,87.51
4,Nitriansky kraj,401,Komárno,6,Komunistická strana Slovenska,83,0.18,58,69.87
4,Nitriansky kraj,401,Komárno,7,Maďarské fórum,252,0.55,204,80.95
4,Nitriansky kraj,401,Komárno,8,Vlastenecký blok,15,0.03,9,60.0
4,Nitriansky kraj,401,Komárno,9,"Modrí, Most - Híd",254,0.55,199,78.34
4,Nitriansky kraj,401,Komárno,10,SPRAVODLIVOSŤ,19,0.04,15,78.94
4,Nitriansky kraj,401,Komárno,11,Slovenské Hnutie Obrody,9,0.01,8,88.88
4,Nitriansky kraj,401,Komárno,12,Sloboda a Solidarita,1057,2.31,851,80.51
4,Nitriansky kraj,401,Komárno,13,SME RODINA,500,1.09,420,84.0
4,Nitriansky kraj,401,Komárno,14,MySlovensko,25,0.05,23,92.0
4,Nitriansky kraj,401,Komárno,15,Slovenská národná strana,739,1.62,652,88.22
4,Nitriansky kraj,401,Komárno,16,SMER - sociálna demokracia,6441,14.12,5531,85.87
4,Nitriansky kraj,401,Komárno,17,HLAS - sociálna demokracia,3457,7.57,2940,85.04
4,Nitriansky kraj,401,Komárno,18,SZÖVETSÉG - Magyarok,22255,48.78,19153,86.06
4,Nitriansky kraj,401,Komárno,19,SRDCE vlastenci a dôchodcovia,30,0.06,21,70.0
4,Nitriansky kraj,401,Komárno,20,SDKU - DS,2,0.0,0,0.0
4,Nitriansky kraj,401,Komárno,21,Kotlebovci - Ľudová strana Naše Slovensko,169,0.37,149,88.16
4,Nitriansky kraj,401,Komárno,22,Demokrati,436,0.95,375,86.0
4,Nitriansky kraj,401,Komárno,23,Kresťanskodemokratické hnutie,412,0.9,321,77.91
4,Nitriansky kraj,401,Komárno,24,KARMA,26,0.05,15,57.69
4,Nitriansky kraj,401,Komárno,25,REPUBLIKA,1016,2.22,896,88.18
4,Nitriansky kraj,402,Levice,1,Pirátska strana - Slovensko,197,0.35,143,72.58
4,Nitriansky kraj,402,Levice,2,PRINCÍP,31,0.05,23,74.19
4,Nitriansky kraj,402,Levice,3,Progresívne Slovensko,8349,14.87,5981,71.63
4,Nitriansky kraj,402,Levice,4,SPOLOČNE OBČANIA SLOVENSKA,34,0.06,24,70.58
4,Nitriansky kraj,402,Levice,5,OĽANO A PRIATELIA,5189,9.24,4458,85.91
4,Nitriansky kraj,402,Levice,6,Komunistická strana Slovenska,212,0.37,140,66.03
4,Nitriansky kraj,402,Levice,7,Maďarské fórum,151,0.26,120,79.47
4,Nitriansky kraj,402,Levice,8,Vlastenecký blok,11,0.01,9,81.81
4,Nitriansky kraj,402,Levice,9,"Modrí, Most - Híd",244,0.43,188,77.04
4,Nitriansky kraj,402,Levice,10,SPRAVODLIVOSŤ,28,0.04,18,64.28
4,Nitriansky kraj,402,Levice,11,Slovenské Hnutie Obrody,52,0.09,38,73.07
4,Nitriansky kraj,402,Levice,12,Sloboda a Solidarita,2561,4.56,2006,78.32
4,Nitriansky kraj,402,Levice,13,SME RODINA,1401,2.49,1167,83.29
4,Nitriansky kraj,402,Levice,14,MySlovensko,41,0.07,26,63.41
4,Nitriansky kraj,402,Levice,15,Slovenská národná strana,2210,3.93,1909,86.38
4,Nitriansky kraj,402,Levice,16,SMER - sociálna demokracia,12424,22.13,10309,82.97
4,Nitriansky kraj,402,Levice,17,HLAS - sociálna demokracia,8360,14.89,7012,83.87
4,Nitriansky kraj,402,Levice,18,SZÖVETSÉG - Magyarok,7566,13.48,6587,87.06
4,Nitriansky kraj,402,Levice,19,SRDCE vlastenci a dôchodcovia,67,0.11,43,64.17
4,Nitriansky kraj,402,Levice,20,SDKU - DS,17,0.03,11,64.7
4,Nitriansky kraj,402,Levice,21,Kotlebovci - Ľudová strana Naše Slovensko,685,1.22,582,84.96
4,Nitriansky kraj,402,Levice,22,Demokrati,1307,2.32,1101,84.23
4,Nitriansky kraj,402,Levice,23,Kresťanskodemokratické hnutie,2266,4.03,1740,76.78
4,Nitriansky kraj,402,Levice,24,KARMA,42,0.07,25,59.52
4,Nitriansky kraj,402,Levice,25,REPUBLIKA,2678,4.77,2284,85.28
4,Nitriansky kraj,403,Nitra,1,Pirátska strana - Slovensko,303,0.25,191,63.03
4,Nitriansky kraj,403,Nitra,2,PRINCÍP,31,0.02,22,70.96
4,Nitriansky kraj,403,Nitra,3,Progresívne Slovensko,20051,16.82,14784,73.73
4,Nitriansky kraj,403,Nitra,4,SPOLOČNE OBČANIA SLOVENSKA,63,0.05,25,39.68
4,Nitriansky kraj,403,Nitra,5,OĽANO A PRIATELIA,7897,6.62,6895,87.31
4,Nitriansky kraj,403,Nitra,6,Komunistická strana Slovenska,300,0.25,189,63.0
4,Nitriansky kraj,403,Nitra,7,Maďarské fórum,68,0.05,53,77.94
4,Nitriansky kraj,403,Nitra,8,Vlastenecký blok,32,0.02,23,71.87
4,Nitriansky kraj,403,Nitra,9,"Modrí, Most - Híd",226,0.18,168,74.33
4,Nitriansky kraj,403,Nitra,10,SPRAVODLIVOSŤ,53,0.04,37,69.81
4,Nitriansky kraj,403,Nitra,11,Slovenské Hnutie Obrody,71,0.05,52,73.23
4,Nitriansky kraj,403,Nitra,12,Sloboda a Solidarita,7461,6.26,6153,82.46
4,Nitriansky kraj,403,Nitra,13,SME RODINA,2529,2.12,2139,84.57
4,Nitriansky kraj,403,Nitra,14,MySlovensko,137,0.11,105,76.64
4,Nitriansky kraj,403,Nitra,15,Slovenská národná strana,7004,5.87,6167,88.04
4,Nitriansky kraj,403,Nitra,16,SMER - sociálna demokracia,33918,28.46,28845,85.04
4,Nitriansky kraj,403,Nitra,17,HLAS - sociálna demokracia,19861,16.66,16513,83.14
4,Nitriansky kraj,403,Nitra,18,SZÖVETSÉG - Magyarok,1779,1.49,1472,82.74
4,Nitriansky kraj,403,Nitra,19,SRDCE vlastenci a dôchodcovia,105,0.08,73,69.52
4,Nitriansky kraj,403,Nitra,20,SDKU - DS,23,0.01,11,47.82
4,Nitriansky kraj,403,Nitra,21,Kotlebovci - Ľudová strana Naše Slovensko,1020,0.85,880,86.27
4,Nitriansky kraj,403,Nitra,22,Demokrati,3416,2.86,2915,85.33
4,Nitriansky kraj,403,Nitra,23,Kresťanskodemokratické hnutie,6598,5.53,4862,73.68
4,Nitriansky kraj,403,Nitra,24,KARMA,87,0.07,38,43.67
4,Nitriansky kraj,403,Nitra,25,REPUBLIKA,6110,5.12,5333,87.28
4,Nitriansky kraj,404,Nové Zámky,1,Pirátska strana - Slovensko,201,0.28,162,80.59
4,Nitriansky kraj,404,Nové Zámky,2,PRINCÍP,29,0.04,26,89.65
4,Nitriansky kraj,404,Nové Zámky,3,Progresívne Slovensko,9608,13.52,6952,72.35
4,Nitriansky kraj,404,Nové Zámky,4,SPOLOČNE OBČANIA SLOVENSKA,53,0.07,31,58.49
4,Nitriansky kraj,404,Nové Zámky,5,OĽANO A PRIATELIA,5686,8.0,4954,87.12
4,Nitriansky kraj,404,Nové Zámky,6,Komunistická strana Slovenska,160,0.22,106,66.25
4,Nitriansky kraj,404,Nové Zámky,7,Maďarské fórum,193,0.27,149,77.2
4,Nitriansky kraj,404,Nové Zámky,8,Vlastenecký blok,13,0.01,9,69.23
4,Nitriansky kraj,404,Nové Zámky,9,"Modrí, Most - Híd",409,0.57,311,76.03
4,Nitriansky kraj,404,Nové Zámky,10,SPRAVODLIVOSŤ,22,0.03,13,59.09
4,Nitriansky kraj,404,Nové Zámky,11,Slovenské Hnutie Obrody,27,0.03,17,62.96
4,Nitriansky kraj,404,Nové Zámky,12,Sloboda a Solidarita,2824,3.97,2235,79.14
4,Nitriansky kraj,404,Nové Zámky,13,SME RODINA,1378,1.94,1174,85.19
4,Nitriansky kraj,404,Nové Zámky,14,MySlovensko,46,0.06,28,60.86
4,Nitriansky kraj,404,Nové Zámky,15,Slovenská národná strana,2636,3.71,2336,88.61
4,Nitriansky kraj,404,Nové Zámky,16,SMER - sociálna demokracia,16515,23.25,13993,84.72
4,Nitriansky kraj,404,Nové Zámky,17,HLAS - sociálna demokracia,10432,14.68,8903,85.34
4,Nitriansky kraj,404,Nové Zámky,18,SZÖVETSÉG - Magyarok,13647,19.21,11321,82.95
4,Nitriansky kraj,404,Nové Zámky,19,SRDCE vlastenci a dôchodcovia,59,0.08,32,54.23
4,Nitriansky kraj,404,Nové Zámky,20,SDKU - DS,15,0.02,9,60.0
4,Nitriansky kraj,404,Nové Zámky,21,Kotlebovci - Ľudová strana Naše Slovensko,482,0.67,419,86.92
4,Nitriansky kraj,404,Nové Zámky,22,Demokrati,1171,1.64,997,85.14
4,Nitriansky kraj,404,Nové Zámky,23,Kresťanskodemokratické hnutie,2268,3.19,1734,76.45
4,Nitriansky kraj,404,Nové Zámky,24,KARMA,36,0.05,24,66.66
4,Nitriansky kraj,404,Nové Zámky,25,REPUBLIKA,3110,4.37,2747,88.32
4,Nitriansky kraj,405,Šaľa,1,Pirátska strana - Slovensko,94,0.36,65,69.14
4,Nitriansky kraj,405,Šaľa,2,PRINCÍP,8,0.03,8,100.0
4,Nitriansky kraj,405,Šaľa,3,Progresívne Slovensko,4238,16.41,3058,72.15
4,Nitriansky kraj,405,Šaľa,4,SPOLOČNE OBČANIA SLOVENSKA,26,0.1,17,65.38
4,Nitriansky kraj,405,Šaľa,5,OĽANO A PRIATELIA,2405,9.31,2025,84.19
4,Nitriansky kraj,405,Šaľa,6,Komunistická strana Slovenska,95,0.36,70,73.68
4,Nitriansky kraj,405,Šaľa,7,Maďarské fórum,76,0.29,59,77.63
4,Nitriansky kraj,405,Šaľa,8,Vlastenecký blok,4,0.01,4,100.0
4,Nitriansky kraj,405,Šaľa,9,"Modrí, Most - Híd",92,0.35,70,76.08
4,Nitriansky kraj,405,Šaľa,10,SPRAVODLIVOSŤ,10,0.03,5,50.0
4,Nitriansky kraj,405,Šaľa,11,Slovenské Hnutie Obrody,8,0.03,6,75.0
4,Nitriansky kraj,405,Šaľa,12,Sloboda a Solidarita,1511,5.85,1267,83.85
4,Nitriansky kraj,405,Šaľa,13,SME RODINA,559,2.16,459,82.11
4,Nitriansky kraj,405,Šaľa,14,MySlovensko,22,0.08,15,68.18
4,Nitriansky kraj,405,Šaľa,15,Slovenská národná strana,783,3.03,663,84.67
4,Nitriansky kraj,405,Šaľa,16,SMER - sociálna demokracia,5470,21.18,4663,85.24
4,Nitriansky kraj,405,Šaľa,17,HLAS - sociálna demokracia,3177,12.3,2600,81.83
4,Nitriansky kraj,405,Šaľa,18,SZÖVETSÉG - Magyarok,4722,18.28,4081,86.42
4,Nitriansky kraj,405,Šaľa,19,SRDCE vlastenci a dôchodcovia,12,0.04,8,66.66
4,Nitriansky kraj,405,Šaľa,20,SDKU - DS,4,0.01,2,50.0
4,Nitriansky kraj,405,Šaľa,21,Kotlebovci - Ľudová strana Naše Slovensko,148,0.57,129,87.16
4,Nitriansky kraj,405,Šaľa,22,Demokrati,581,2.24,504,86.74
4,Nitriansky kraj,405,Šaľa,23,Kresťanskodemokratické hnutie,674,2.6,475,70.47
4,Nitriansky kraj,405,Šaľa,24,KARMA,24,0.09,14,58.33
4,Nitriansky kraj,405,Šaľa,25,REPUBLIKA,1081,4.18,915,84.64
4,Nitriansky kraj,406,Topoľčany,1,Pirátska strana - Slovensko,112,0.26,85,75.89
4,Nitriansky kraj,406,Topoľčany,2,PRINCÍP,12,0.02,11,91.66
4,Nitriansky kraj,406,Topoľčany,3,Progresívne Slovensko,4774,11.5,3601,75.42
4,Nitriansky kraj,406,Topoľčany,4,SPOLOČNE OBČANIA SLOVENSKA,24,0.05,14,58.33
4,Nitriansky kraj,406,Topoľčany,5,OĽANO A PRIATELIA,2252,5.42,1992,88.45
4,Nitriansky kraj,406,Topoľčany,6,Komunistická strana Slovenska,118,0.28,75,63.55
4,Nitriansky kraj,406,Topoľčany,7,Maďarské fórum,13,0.03,11,84.61
4,Nitriansky kraj,406,Topoľčany,8,Vlastenecký blok,34,0.08,30,88.23
4,Nitriansky kraj,406,Topoľčany,9,"Modrí, Most - Híd",28,0.06,21,75.0
4,Nitriansky kraj,406,Topoľčany,10,SPRAVODLIVOSŤ,11,0.02,8,72.72
4,Nitriansky kraj,406,Topoľčany,11,Slovenské Hnutie Obrody,18,0.04,14,77.77
4,Nitriansky kraj,406,Topoľčany,12,Sloboda a Solidarita,1847,4.45,1526,82.62
4,Nitriansky kraj,406,Topoľčany,13,SME RODINA,857,2.06,751,87.63
4,Nitriansky kraj,406,Topoľčany,14,MySlovensko,37,0.08,28,75.67
4,Nitriansky kraj,406,Topoľčany,15,Slovenská národná strana,2863,6.9,2559,89.38
4,Nitriansky kraj,406,Topoľčany,16,SMER - sociálna demokracia,16152,38.92,14165,87.69
4,Nitriansky kraj,406,Topoľčany,17,HLAS - sociálna demokracia,6466,15.58,5491,84.92
4,Nitriansky kraj,406,Topoľčany,18,SZÖVETSÉG - Magyarok,18,0.04,11,61.11
